NAICS,Geography,Year,Employment
211XXX,Alabama,2011,557
212XXX,Alabama,2011,5884
213XXX,Alabama,2011,1368
213111,Alabama,2011,0
213112,Alabama,2011,906
211XXX,Alabama,2012,510
212XXX,Alabama,2012,6378
213XXX,Alabama,2012,2500
213111,Alabama,2012,280
213112,Alabama,2012,902
211XXX,Alaska,2011,0
212XXX,Alaska,2011,2009
213XXX,Alaska,2011,7249
213111,Alaska,2011,0
213112,Alaska,2011,5646
211XXX,Alaska,2012,0
212XXX,Alaska,2012,2559
213XXX,Alaska,2012,7602
213111,Alaska,2012,0
213112,Alaska,2012,6168
211XXX,Arizona,2011,73
212XXX,Arizona,2011,10329
213XXX,Arizona,2011,758
213111,Arizona,2011,48
213112,Arizona,2011,0
211XXX,Arizona,2012,82
212XXX,Arizona,2012,9637
213XXX,Arizona,2012,1120
213111,Arizona,2012,118
213112,Arizona,2012,248
211XXX,Arkansas,2011,2028
212XXX,Arkansas,2011,1862
213XXX,Arkansas,2011,6000
213111,Arkansas,2011,2578
213112,Arkansas,2011,3410
211XXX,Arkansas,2012,1434
212XXX,Arkansas,2012,1840
213XXX,Arkansas,2012,6214
213111,Arkansas,2012,2216
213112,Arkansas,2012,3987
211XXX,California,2011,6192
212XXX,California,2011,5712
213XXX,California,2011,10675
213111,California,2011,0
213112,California,2011,6160
211XXX,California,2012,6679
212XXX,California,2012,5161
213XXX,California,2012,12619
213111,California,2012,4793
213112,California,2012,7609
211XXX,Colorado,2011,6692
212XXX,Colorado,2011,4616
213XXX,Colorado,2011,13698
213111,Colorado,2011,3573
213112,Colorado,2011,9091
211XXX,Colorado,2012,7254
212XXX,Colorado,2012,5025
213XXX,Colorado,2012,16679
213111,Colorado,2012,4603
213112,Colorado,2012,11101
211XXX,Connecticut,2011,0
212XXX,Connecticut,2011,639
213XXX,Connecticut,2011,0
213111,Connecticut,2011,0
213112,Connecticut,2011,9
211XXX,Connecticut,2012,0
212XXX,Connecticut,2012,744
213XXX,Connecticut,2012,0
213111,Connecticut,2012,0
213112,Connecticut,2012,0
211XXX,Delaware,2011,5
212XXX,Delaware,2011,0
213XXX,Delaware,2011,12
213112,Delaware,2011,12
211XXX,Delaware,2012,0
212XXX,Delaware,2012,0
213XXX,Delaware,2012,0
213112,Delaware,2012,0
211XXX,District of Columbia,2011,0
213XXX,District of Columbia,2011,0
213112,District of Columbia,2011,0
211XXX,District of Columbia,2012,0
211XXX,Florida,2011,0
212XXX,Florida,2011,4073
213XXX,Florida,2011,337
213111,Florida,2011,120
213112,Florida,2011,144
211XXX,Florida,2012,0
212XXX,Florida,2012,3378
213XXX,Florida,2012,440
213111,Florida,2012,0
213112,Florida,2012,0
211XXX,Georgia,2011,0
212XXX,Georgia,2011,4617
213XXX,Georgia,2011,0
213111,Georgia,2011,0
213112,Georgia,2011,0
211XXX,Georgia,2012,0
212XXX,Georgia,2012,4248
213XXX,Georgia,2012,798
213111,Georgia,2012,42
213112,Georgia,2012,0
212XXX,Hawaii,2011,127
213XXX,Hawaii,2011,0
213111,Hawaii,2011,0
213112,Hawaii,2011,0
211XXX,Hawaii,2012,0
212XXX,Hawaii,2012,83
213XXX,Hawaii,2012,0
213111,Hawaii,2012,0
213112,Hawaii,2012,0
211XXX,Idaho,2011,0
212XXX,Idaho,2011,2133
213XXX,Idaho,2011,426
213111,Idaho,2011,0
213112,Idaho,2011,0
211XXX,Idaho,2012,11
212XXX,Idaho,2012,1990
213XXX,Idaho,2012,735
213111,Idaho,2012,26
213112,Idaho,2012,0
211XXX,Illinois,2011,1006
212XXX,Illinois,2011,5711
213XXX,Illinois,2011,1472
213111,Illinois,2011,326
213112,Illinois,2011,714
211XXX,Illinois,2012,951
212XXX,Illinois,2012,5662
213XXX,Illinois,2012,2236
213111,Illinois,2012,426
213112,Illinois,2012,992
211XXX,Indiana,2011,250
212XXX,Indiana,2011,5404
213XXX,Indiana,2011,719
213111,Indiana,2011,0
213112,Indiana,2011,0
211XXX,Indiana,2012,226
212XXX,Indiana,2012,5199
213XXX,Indiana,2012,600
213111,Indiana,2012,0
213112,Indiana,2012,168
211XXX,Iowa,2011,0
212XXX,Iowa,2011,1881
213XXX,Iowa,2011,0
213111,Iowa,2011,0
213112,Iowa,2011,0
211XXX,Iowa,2012,0
212XXX,Iowa,2012,2003
213XXX,Iowa,2012,59
213111,Iowa,2012,0
213112,Iowa,2012,0
211XXX,Kansas,2011,2528
212XXX,Kansas,2011,1246
213XXX,Kansas,2011,5739
213111,Kansas,2011,2111
213112,Kansas,2011,3567
211XXX,Kansas,2012,2550
212XXX,Kansas,2012,1055
