Geography,Year,Active Rotary Rig count,,,,,,
Alabama,2011 ,7 ,,,,,,
Alaska,2011 ,7 ,,,,,,
Arizona,2011 ,0 ,,,,,,
Arkansas,2011 ,35 ,,,,,,
California,2011 ,45 ,,,,,,
Colorado,2011 ,72 ,,,,,,
Florida,2011 ,1 ,,,,,,
Georgia,2011 ,0 ,,,,,,
Hawaii,2011 ,0 ,,,,,,
Idaho,2011 ,0 ,,,,,,
Illinois,2011 ,1 ,,,,,,
Indiana,2011 ,1 ,,,,,,
Iowa,2011 ,0 ,,,,,,
Kansas,2011 ,28 ,,,,,,
Kentucky,2011 ,5 ,,,,,,
Louisiana,2011 ,165 ,,,,,,
Maryland,2011 ,0 ,,,,,,
Michigan,2011 ,2 ,,,,,,
Mississippi ,2011 ,9 ,,,,,,
Montana,2011 ,9 ,,,,,,
Nebraska,2011 ,1 ,,,,,,
Nevada,2011 ,3 ,,,,,,
New Mexico,2011 ,79 ,,,,,,
New York,2011 ,0 ,,,,,,
North Dakota,2011 ,168 ,,,,,,
Ohio,2011 ,11 ,,,,,,
Oklahoma,2011 ,180 ,,,,,,
Oregon,2011 ,1 ,,,,,,
Pennsylvania,2011 ,110 ,,,,,,
South Dakota,2011 ,1 ,,,,,,
Tennessee,2011 ,0 ,,,,,,
Texas,2011 ,838 ,,,,,,
Utah,2011 ,28 ,,,,,,
Vermont,2011 ,0 ,,,,,,
Virginia,2011 ,1 ,,,,,,
Washington,2011 ,0 ,,,,,,
West Virginia,2011 ,21 ,,,,,,
Wyoming,2011 ,48 ,,,,,,
United States,2011 ,1875 ,,,,,,
Alabama,2012 ,5 ,,,,,,
Alaska,2012 ,7 ,,,,,,
Arizona,2012 ,0 ,,,,,,
Arkansas,2012 ,21 ,,,,,,
California,2012 ,44 ,,,,,,
Colorado,2012 ,65 ,,,,,,
Florida,2012 ,1 ,,,,,,
Georgia,2012 ,0 ,,,,,,
Hawaii,2012 ,0 ,,,,,,
Idaho,2012 ,0 ,,,,,,
Illinois,2012 ,1 ,,,,,,
Indiana,2012 ,1 ,,,,,,
Iowa,2012 ,0 ,,,,,,
Kansas,2012 ,30 ,,,,,,
Kentucky,2012 ,3 ,,,,,,
Louisiana,2012 ,124 ,,,,,,
Maryland,2012 ,0 ,,,,,,
Michigan,2012 ,2 ,,,,,,
Mississippi ,2012 ,11 ,,,,,,
Montana,2012 ,20 ,,,,,,
Nebraska,2012 ,1 ,,,,,,
Nevada,2012 ,1 ,,,,,,
New Mexico,2012 ,84 ,,,,,,
New York,2012 ,0 ,,,,,,
North Dakota,2012 ,188 ,,,,,,
Ohio,2012 ,18 ,,,,,,
Oklahoma,2012 ,196 ,,,,,,
Oregon,2012 ,0 ,,,,,,
Pennsylvania,2012 ,84 ,,,,,,
South Dakota,2012 ,1 ,,,,,,
Tennessee,2012 ,0 ,,,,,,
Texas,2012 ,899 ,,,,,,
Utah,2012 ,37 ,,,,,,
Vermont,2012 ,0 ,,,,,,
Virginia,2012 ,1 ,,,,,,
Washington,2012 ,0 ,,,,,,
West Virginia,2012 ,26 ,,,,,,
Wyoming,2012 ,47 ,,,,,,
United States,2012 ,1919 ,,,,,,
