Geography,All Mining Fatalities (2011 and 2012),Oil and Gas Fatalities (2011 and 2012),All Mining Workers (Average of 2011 and 2012),Oil and Gas Workers (Average of 2011 and 2012),Active Rotary Rig Count (Average of 2011 and 2012),"One-Year Average (2011 and 2012) Mining Fatalities per 100,000 workers","One Year Average (2011 and 2012) Oil and Gas Fatalities per 100,000 workers",One Year Average Oil and Gas Fatalities Per 100 Rigs
Arkansas,4,4,9689,7826.5,28,20.6,25.6,7.1
California,6,0,23519,15716.5,44.5,12.8,0.0,0.0
Colorado,11,6,26982,21157,68.5,20.4,14.2,4.4
Kansas,2,1,9891.5,8666,29,10.1,5.8,1.7
Louisiana,15,15,53809.5,51934,144.5,13.9,14.4,5.2
New Mexico,13,10,17756,13812,81.5,36.6,36.2,6.1
North Dakota,23,23,17423,15433,178,66.0,74.5,6.5
Oklahoma,33,32,52226.5,49854,188,31.6,32.1,8.5
Pennsylvania,7,4,32042,17505.5,97,10.9,11.4,2.1
Texas,106,106,204169.5,195093.5,868.5,26.0,27.2,6.1
Utah,0,0,11320,5620.5,32.5,0.0,0.0,0.0
West Virginia,18,5,35035,6658,23.5,25.7,37.5,10.6
Wyoming,8,3,27814,18442,47.5,14.4,8.1,3.2
United States,336,254,689415,468509,1897,24.4,27.1,6.7
