Name,Postal Code,FIPS Code,Code
United States,US,,N00
Alabama,AL,01,S01
Alaska,AK,02,S02
Arizona,AZ,04,S04
Arkansas,AR,05,S05
California,CA,06,S06
Colorado,CO,08,S08
Connecticut,CT,09,S09
Delaware,DE,10,S10
District of Columbia,DC,11,S11
Florida,FL,12,S12
Georgia,GA,13,S13
Hawaii,HI,15,S15
Idaho,ID,16,S16
Illinois,IL,17,S17
Indiana,IN,18,S18
Iowa,IA,19,S19
Kansas,KS,20,S20
Kentucky,KY,21,S21
Louisiana,LA,22,S22
Maine,ME,23,S23
Maryland,MD,24,S24
Massachusetts,MA,25,S25
Michigan,MI,26,S26
Minnesota,MN,27,S27
Mississippi,MS,28,S28
Missouri,MO,29,S29
Montana,MT,30,S30
Nebraska,NE,31,S31
Nevada,NV,32,S32
New Hampshire,NH,33,S33
New Jersey,NJ,34,S34
New Mexico,NM,35,S35
New York,NY,36,S69
New York State (except NYC),,,S36
North Carolina,NC,37,S37
North Dakota,ND,38,S38
Ohio,OH,39,S39
Oklahoma,OK,40,S40
Oregon,OR,41,S41
Pennsylvania,PA,42,S42
Puerto Rico,PR,72,S43
Rhode Island,RI,44,S44
South Carolina,SC,45,S45
South Dakota,SD,46,S46
Tennessee,TN,47,S47
Texas,TX,48,S48
Utah,UT,49,S49
Vermont,VT,50,S50
Virginia,VA,51,S51
Virgin Islands,VI,78,
Washington,WA,53,S53
West Virginia,WV,54,S54
Wisconsin,WI,55,S55
Wyoming,WY,56,S56
Guam,,,S66
New York City,NYC,,S68
